cp	maxdepth	minsplit	minbucket	ganancia_mean	qty	id
-0.5	12	600	5	161424000	5	1
-0.5	10	600	5	159622000	5	2
-0.5	10	800	5	159560000	5	3
-0.5	12	800	5	159348000	5	4
-0.5	14	600	5	158850000	5	5
-0.5	10	1000	5	158700000	5	6
-0.5	12	1000	5	158604000	5	7
-0.5	12	400	5	157414000	5	8
-0.5	14	800	5	156990000	5	9
-0.5	14	1000	5	156708000	5	10
-0.5	10	400	5	156150000	5	11
-0.5	6	600	5	155020000	5	12
-0.5	12	200	5	153982000	5	13
-0.5	6	400	5	153934000	5	14
-0.5	6	200	5	153768000	5	15
-0.5	6	800	5	153660000	5	16
-0.5	6	100	5	153466000	5	17
-0.5	6	50	5	152906000	5	18
-0.5	6	1000	5	152808000	5	19
-0.5	6	20	5	152652000	5	20
-0.5	14	400	5	152474000	5	21
-0.5	6	10	5	152334000	5	22
-0.5	10	200	5	151788000	5	23
-0.5	4	1000	5	151722000	5	24
-0.5	4	600	5	151292000	5	25
-0.5	4	800	5	151132000	5	26
-0.5	8	600	5	150718000	5	27
-0.5	4	50	5	150202000	5	28
-0.5	4	20	5	150202000	5	29
-0.5	4	10	5	150202000	5	30
-0.5	4	400	5	150170000	5	31
-0.5	4	200	5	150170000	5	32
-0.5	4	100	5	150170000	5	33
-0.5	8	800	5	149398000	5	34
-0.5	8	1000	5	148610000	5	35
-0.5	14	200	5	148534000	5	36
-0.5	10	100	5	147992000	5	37
-0.5	12	100	5	147800000	5	38
-0.5	8	400	5	147372000	5	39
-0.5	8	200	5	146032000	5	40
-0.5	10	50	5	144998000	5	41
-0.5	8	100	5	144906000	5	42
-0.5	8	50	5	143552000	5	43
-0.5	8	20	5	142198000	5	44
-0.5	14	100	5	140792000	5	45
-0.5	8	10	5	140342000	5	46
-0.5	12	50	5	139146000	5	47
-0.5	10	20	5	137170000	5	48
-0.5	10	10	5	133634000	5	49
-0.5	14	50	5	129870000	5	50
-0.5	12	20	5	126970000	5	51
-0.5	12	10	5	120192000	5	52
-0.5	14	20	5	113684000	5	53
-0.5	14	10	5	101758000	5	54
