semilla	cp	maxdepth	minsplit	minbucket	ganancia_test
260873	-0.5	4	1000	5	143840000
189913	-0.5	4	1000	5	149470000
816499	-0.5	4	1000	5	158290000
231323	-0.5	4	1000	5	145990000
419791	-0.5	4	1000	5	161020000
260873	-0.5	4	800	5	140900000
189913	-0.5	4	800	5	149470000
816499	-0.5	4	800	5	156180000
231323	-0.5	4	800	5	144790000
419791	-0.5	4	800	5	164320000
260873	-0.5	4	600	5	140900000
189913	-0.5	4	600	5	150270000
816499	-0.5	4	600	5	156180000
231323	-0.5	4	600	5	144790000
419791	-0.5	4	600	5	164320000
260873	-0.5	4	400	5	140900000
189913	-0.5	4	400	5	144660000
816499	-0.5	4	400	5	156180000
231323	-0.5	4	400	5	144790000
419791	-0.5	4	400	5	164320000
260873	-0.5	4	200	5	140900000
189913	-0.5	4	200	5	144660000
816499	-0.5	4	200	5	156180000
231323	-0.5	4	200	5	144790000
419791	-0.5	4	200	5	164320000
260873	-0.5	4	100	5	140900000
189913	-0.5	4	100	5	144660000
816499	-0.5	4	100	5	156180000
231323	-0.5	4	100	5	144790000
419791	-0.5	4	100	5	164320000
260873	-0.5	4	50	5	141060000
189913	-0.5	4	50	5	144660000
816499	-0.5	4	50	5	156180000
231323	-0.5	4	50	5	144790000
419791	-0.5	4	50	5	164320000
260873	-0.5	4	20	5	141060000
189913	-0.5	4	20	5	144660000
816499	-0.5	4	20	5	156180000
231323	-0.5	4	20	5	144790000
419791	-0.5	4	20	5	164320000
260873	-0.5	4	10	5	141060000
189913	-0.5	4	10	5	144660000
816499	-0.5	4	10	5	156180000
231323	-0.5	4	10	5	144790000
419791	-0.5	4	10	5	164320000
260873	-0.5	6	1000	5	144750000
189913	-0.5	6	1000	5	162940000
816499	-0.5	6	1000	5	1.58e+08
231323	-0.5	6	1000	5	146830000
419791	-0.5	6	1000	5	151520000
260873	-0.5	6	800	5	145050000
189913	-0.5	6	800	5	166080000
816499	-0.5	6	800	5	155890000
231323	-0.5	6	800	5	145700000
419791	-0.5	6	800	5	155580000
260873	-0.5	6	600	5	147130000
189913	-0.5	6	600	5	169830000
816499	-0.5	6	600	5	156430000
231323	-0.5	6	600	5	146210000
419791	-0.5	6	600	5	155500000
260873	-0.5	6	400	5	147070000
189913	-0.5	6	400	5	164830000
816499	-0.5	6	400	5	156430000
231323	-0.5	6	400	5	146210000
419791	-0.5	6	400	5	155130000
260873	-0.5	6	200	5	146260000
189913	-0.5	6	200	5	164810000
816499	-0.5	6	200	5	156430000
231323	-0.5	6	200	5	146210000
419791	-0.5	6	200	5	155130000
260873	-0.5	6	100	5	144750000
