fecha	num.trees	max.depth	min.node.size	mtry	xval_folds	ganancia	iteracion
20240905 204315	179	4	612	14	5	117019000	1
20240905 204447	350	10	660	31	5	131978000	2
20240905 204735	306	22	456	42	5	127617000	3
20240905 204756	200	5	793	28	5	122948000	4
20240905 204823	124	13	354	20	5	129626000	5
20240905 204910	356	18	982	10	5	128688000	6
20240905 205019	231	26	520	23	5	128219000	7
20240905 205107	396	11	300	11	5	130655000	8
20240905 205349	421	16	934	35	5	129339000	9
20240905 205531	156	21	160	50	5	120694000	10
20240905 205544	280	2	210	33	5	109123000	11
20240905 210020	450	25	105	45	5	123382000	12
20240905 210026	107	7	842	4	5	115885000	13
20240905 210045	78	29	25	17	5	117502000	14
20240905 210100	32	14	744	41	5	122521000	15
20240905 210142	488	28	401	5	5	127575000	16
20240905 210340	500	15	508	21	5	134736000	17
20240905 210524	471	19	446	18	5	130935000	18
20240905 210715	482	13	556	23	5	131733000	19
20240905 210834	364	15	430	19	5	132643000	20
20240905 211034	500	16	579	21	5	132636000	21
20240905 211325	500	15	378	31	5	129150000	22
20240905 211424	500	15	497	9	5	128569000	23
20240905 211624	421	16	503	25	5	130403000	24
20240905 211818	500	15	941	21	5	132391000	25
20240905 212024	500	22	824	21	5	130543000	26
20240905 212150	500	10	371	21	5	132244000	27
20240905 212338	480	14	55	20	5	128940000	28
20240905 212534	500	15	635	21	5	130949000	29
20240905 212853	500	23	647	32	5	130375000	30
20240905 213051	500	10	947	31	5	130823000	31
20240905 213253	500	27	1000	20	5	131908000	32
20240905 213323	117	21	1000	21	5	132251000	33
20240905 213535	395	22	1000	28	5	129507000	34
20240905 213714	467	20	1000	18	5	130368000	35
20240905 213721	20	30	994	22	5	121975000	36
20240905 213914	500	15	405	20	5	132048000	37
20240905 214038	486	11	498	19	5	131285000	38
20240905 214123	225	24	973	16	5	131131000	39
20240905 214129	20	17	1000	21	5	124320000	40
20240905 214242	294	20	1000	21	5	131411000	41
20240905 214420	350	30	516	22	5	130935000	42
20240905 214646	500	26	514	23	5	130872000	43
20240905 214725	174	19	1000	19	5	131201000	44
20240905 214910	431	16	479	21	5	130809000	45
20240905 215116	333	21	721	31	5	132048000	46
20240905 215208	338	23	366	11	5	133336000	47
20240905 215314	152	23	1000	34	5	126777000	48
20240905 215439	362	22	335	18	5	130627000	49
20240905 215538	327	20	469	14	5	133413000	50
20240905 215558	342	19	387	2	5	120974000	51
20240905 215656	369	29	446	12	5	131229000	52
20240905 215939	367	18	654	38	5	129542000	53
20240905 220101	330	17	512	21	5	132678000	54
20240905 220157	324	16	369	14	5	132559000	55
20240905 220311	334	30	897	18	5	130844000	56
20240905 220427	500	21	151	11	5	130102000	57
20240905 220603	354	14	830	26	5	130977000	58
20240905 220630	500	3	502	27	5	116466000	59
20240905 220730	332	23	529	14	5	131488000	60
20240905 220824	281	14	464	17	5	130550000	61
20240905 221124	500	30	849	29	5	130725000	62
20240905 221208	162	21	839	22	5	131236000	63
20240905 221357	328	14	539	32	5	132104000	64
20240905 221450	319	20	212	12	5	132965000	65
20240905 221600	500	30	919	11	5	130032000	66
20240905 221634	202	21	351	12	5	128618000	67
20240905 221744	337	12	301	21	5	132902000	68
20240905 222012	338	30	669	34	5	129626000	69
20240905 222104	345	12	126	14	5	131250000	70
20240905 222241	329	11	802	35	5	131320000	71
20240905 222335	345	26	222	11	5	130816000	72
20240905 222502	342	11	1000	30	5	130893000	73
20240905 222556	353	20	2	11	5	121009000	74
20240905 222712	500	11	204	16	5	133147000	75
20240905 222812	347	14	241	15	5	128338000	76
20240905 222912	500	10	101	13	5	130200000	77
20240905 223058	415	28	750	21	5	129318000	78
20240905 223237	500	11	159	22	5	135695000	79
20240905 223349	407	10	150	21	5	132622000	80
20240905 223458	326	11	414	24	5	133672000	81
20240905 223921	500	26	883	42	5	129927000	82
20240905 224111	500	11	173	25	5	133042000	83
20240905 224523	500	30	508	39	5	128471000	84
20240905 224840	500	12	728	45	5	131341000	85
20240905 225016	500	11	147	21	5	132531000	86
20240905 225220	500	14	200	23	5	130487000	87
20240905 225229	475	1	108	22	5	93681000	88
20240905 225324	389	11	165	14	5	130522000	89
20240905 225436	346	11	212	23	5	132314000	90
20240905 225601	500	23	338	13	5	129066000	91
20240905 225740	482	11	35	23	5	131936000	92
20240905 230024	500	15	764	31	5	131943000	93
20240905 230157	500	10	220	23	5	134750000	94
20240905 230251	346	18	388	12	5	132321000	95
20240905 230433	287	19	539	29	5	128625000	96
20240905 230719	499	12	578	36	5	132482000	97
20240905 231000	392	26	836	32	5	130382000	98
20240905 231138	500	11	295	22	5	132923000	99
20240905 231401	500	10	723	39	5	132223000	100
20240905 231507	314	12	420	22	5	131894000	101
20240905 231612	338	18	545	16	5	131565000	102
20240905 231813	480	11	509	30	5	130151000	103
20240905 232021	381	11	577	41	5	130613000	104
20240905 232144	451	10	173	23	5	132748000	105
20240905 232250	323	23	406	16	5	132468000	106
20240905 232404	314	21	913	20	5	131943000	107
20240905 232724	500	14	687	40	5	132279000	108
20240905 232816	328	10	342	19	5	132216000	109
20240905 232906	262	12	76	19	5	131481000	110
20240905 233011	281	18	370	19	5	130613000	111
20240905 233141	500	15	501	16	5	131537000	112
20240905 233257	338	11	531	26	5	133497000	113
20240905 233355	368	27	1000	13	5	129619000	114
20240905 233547	500	30	530	18	5	129248000	115
20240905 233801	416	13	703	34	5	131054000	116
