Feature	Gain	Cover	Frequency
ctrx_quarter	0.140405735682884	0.0369133634301564	0.0323480200780814
mcaja_ahorro	0.0789581466093093	0.0218891004688928	0.0330048955815827
mpayroll	0.0560559534297522	0.0450985549767949	0.0150957427031047
mpasivos_margen	0.0525023268836556	0.0237875501987761	0.0344673731176799
cpayroll_trx	0.0416146795865742	0.0176426426460813	0.00402801016297949
mtarjeta_visa_consumo	0.0398819414933465	0.0187455213664864	0.0201400508148974
mprestamos_personales	0.0384920533168486	0.0183887251021375	0.0079196876742889
mcuentas_saldo	0.0371335354003194	0.0289470004633092	0.0335998016979612
mrentabilidad_annual	0.0248898096823318	0.0260223640310218	0.0292619445993679
mcuenta_corriente	0.0230046998469802	0.0124072490292747	0.0180083038978745
cprestamos_personales	0.0173951874182541	0.00515314698211709	0.00425109995662143
Master_status	0.0170492396649191	0.00705463551204473	0.0021565346718721
cproductos	0.0154998044728172	0.010144733732333	0.00865092644233749
mactivos_margen	0.0139830183384496	0.018891657751958	0.0194459936791225
mrentabilidad	0.0134997987676161	0.0101324144752608	0.0187519365433476
Master_fechaalta	0.0133631136152916	0.0182860554659989	0.0300923343868129
cliente_edad	0.0126327061648692	0.0203748386753396	0.0265600793208155
Visa_mpagominimo	0.0123520254744732	0.0107704842036233	0.020734956931276
chomebanking_transacciones	0.0120237738121537	0.0190291973895923	0.020263989589143
mcomisiones_mantenimiento	0.0118822402616179	0.0159737784650694	0.0115634876371073
mcomisiones	0.0116375577489861	0.0114880648971367	0.0188262998078949
Visa_fechaalta	0.011405217680712	0.0180154723489761	0.0260519303464089
ctarjeta_master	0.0111971345422076	0.000244330682767129	0.000520542851831195
Visa_msaldototal	0.0111406563169162	0.00985219530580909	0.0144512610770279
Visa_msaldopesos	0.0108480439191501	0.0123056037077578	0.0179463345107517
Visa_Fvencimiento	0.0100921265123881	0.00887469019677135	0.0188882691950177
Visa_status	0.0100690951856856	0.00979591796149605	0.00291256119476978
ctarjeta_visa_transacciones	0.00970790821008413	0.0103222940917355	0.013868748838074
mtransferencias_recibidas	0.00934855159302633	0.00824542374472269	0.0171283386007312
Visa_mfinanciacion_limite	0.00917197714591519	0.0125720012920255	0.0204746855053604
Master_Fvencimiento	0.00916077096752724	0.00871962395301648	0.0182561814463655
Master_mfinanciacion_limite	0.00841644007466075	0.0111572695686566	0.020734956931276
numero_de_cliente	0.00807888422539692	0.00988025153313021	0.017438185536345
mcomisiones_otras	0.00791244830370724	0.0111664309387	0.018962632459565
cliente_antiguedad	0.0075782402124583	0.016879441644201	0.0227303711966289
Visa_mpagospesos	0.0075757505451863	0.013255526439084	0.0175993059428642
Visa_mconsumospesos	0.00672565588863158	0.008800432383355	0.0148850467868873
internet	0.0066550651670943	0.0152152676582699	0.00425109995662143
mautoservicio	0.00655261054460694	0.01974797977904	0.027266530334015
Master_mlimitecompra	0.00616395395362542	0.012070897418554	0.0147239263803681
mcuenta_debitos_automaticos	0.00603611013569451	0.0120899221889058	0.011984879469542
ccomisiones_mantenimiento	0.00592847874325936	0.0183562668202714	0.00640763462849353
Visa_mlimitecompra	0.00585757006741443	0.00996648966373984	0.0120468488566648
Visa_cconsumos	0.00569598223450439	0.0114093900392054	0.0122327570180331
mcaja_ahorro_dolares	0.00502846593199664	0.0116766070751704	0.0109685815207288
Master_msaldopesos	0.00502719256931074	0.00686568610649069	0.00632087748652166
ccomisiones_otras	0.00445352611681712	0.00701466059296286	0.00887401623597943
tcallcenter	0.00421586108545979	0.00752956356666321	0.00480882444072628
