numero_de_cliente	cliente_edad	cliente_antiguedad	ctrx_quarter	mpayroll	mcaja_ahorro	mtarjeta_visa_consumo	mtarjeta_master_consumo	Visa_status	Master_status	Visa_mlimitecompra	Master_mlimitecompra	mprestamos_personales	cdescubierto_preacordado	limite_credito_total	consumo_total	utilizacion_credito	ratio_prestamo_ingreso	cluster
250971063	56	206	0	0	0	0	0	0	0	197064	168912	0	1	1	0	0	0	cluster_1
252607473	73	271	2	0	0	0	0	0	0	197064	168912	0	1	1	0	0	0	cluster_1
253863283	66	282	0	0	0	0	0	0	0	197064	168912	0	1	1	0	0	0	cluster_1
254101021	45	373	3	0	0	0	0	0	0	197064	168912	0	1	1	0	0	0	cluster_1
254604293	57	263	0	0	0	0	0	0	0	197064	168912	0	1	1	0	0	0	cluster_1
255679676	51	68	0	0	0	0	0	0	0	197064	168912	0	1	1	0	0	0	cluster_1
256350823	81	373	16	0	0	0	0	0	0	197064	168912	0	1	1	0	0	0	cluster_1
256750175	71	17	1	0	0	0	0	0	0	197064	168912	0	1	1	0	0	0	cluster_1
258461845	65	321	2	0	0	0	0	0	0	197064	168912	0	1	1	0	0	0	cluster_1
261895322	56	320	8	0	0	0	0	0	0	197064	168912	0	1	1	0	0	0	cluster_1
265916008	59	271	0	0	0	0	0	0	0	197064	168912	0	1	1	0	0	0	cluster_1
266374353	62	321	3	0	0	0	0	0	0	197064	168912	0	1	1	0	0	0	cluster_1
269475506	49	56	0	0	0	0	0	0	0	197064	168912	0	1	1	0	0	0	cluster_1
271504923	76	259	0	0	0	0	0	0	0	197064	168912	0	1	1	0	0	0	cluster_1
271960645	70	277	0	0	0	0	0	0	0	197064	168912	0	1	1	0	0	0	cluster_1
276587499	69	321	0	0	0	0	0	0	0	197064	168912	0	1	1	0	0	0	cluster_1
278233097	88	120	0	0	0	0	0	0	0	197064	168912	0	1	1	0	0	0	cluster_1
279289010	71	295	2	0	0	0	0	0	0	197064	168912	0	1	1	0	0	0	cluster_1
279705860	67	376	8	0	0	0	0	0	0	197064	168912	0	1	1	0	0	0	cluster_1
281574832	72	323	11	0	0	0	0	0	0	197064	168912	0	1	1	0	0	0	cluster_1
285461410	55	323	1	0	0	0	0	0	0	197064	168912	0	1	1	0	0	0	cluster_1
286197902	77	322	0	0	0	0	0	0	0	197064	168912	0	1	1	0	0	0	cluster_1
290551792	60	272	9	0	0	0	0	0	0	197064	168912	0	1	1	0	0	0	cluster_1
298039653	65	323	6	0	0	0	0	0	0	197064	168912	0	1	1	0	0	0	cluster_1
298292199	71	320	7	0	0	0	0	0	0	197064	168912	0	1	1	0	0	0	cluster_1
299827532	66	262	6	0	0	0	0	0	0	197064	168912	0	1	1	0	0	0	cluster_1
303391769	49	43	0	0	0	0	0	0	0	197064	168912	0	1	1	0	0	0	cluster_1
303796442	70	290	17	0	0.18	0	0	0	0	197064	168912	0	1	1	0	0	0	cluster_1
307831790	53	71	3	0	0	0	0	0	0	197064	168912	0	1	1	0	0	0	cluster_1
311712237	72	200	9	0	0	0	0	0	0	197064	168912	0	1	1	0	0	0	cluster_1
316524471	51	281	7	0	0	0	0	0	0	197064	168912	0	1	1	0	0	0	cluster_1
320659513	51	293	4	0	0	0	0	0	0	197064	168912	0	1	1	0	0	0	cluster_1
321564827	49	291	3	0	0	0	0	0	0	197064	168912	292919.26	1	1	0	0	0	cluster_1
330972199	80	300	3	0	0	0	0	0	0	197064	168912	0	1	1	0	0	0	cluster_1
332558002	59	18	0	0	0	0	0	0	0	197064	168912	0	1	1	0	0	0	cluster_1
334302046	44	21	6	0	0	0	0	0	0	197064	168912	0	1	1	0	0	0	cluster_1
334998137	68	278	0	0	14.47	0	0	0	0	197064	168912	0	1	1	0	0	0	cluster_1
337972911	72	321	2	0	0	0	0	0	0	197064	168912	0	1	1	0	0	0	cluster_1
343637513	76	289	0	0	0	0	0	0	0	197064	168912	0	1	1	0	0	0	cluster_1
344368317	81	314	8	0	0	0	0	0	0	197064	168912	0	1	1	0	0	0	cluster_1
345240668	77	267	6	0	0	0	0	0	0	197064	168912	0	1	1	0	0	0	cluster_1
347573536	47	70	11	0	0	0	0	0	0	197064	168912	0	1	1	0	0	0	cluster_1
348464051	64	113	2	0	0	0	0	0	0	197064	168912	451723.97	1	1	0	0	0	cluster_1
351558637	49	277	9	0	0	0	0	0	0	197064	168912	0	1	1	0	0	0	cluster_1
352122072	45	267	6	0	0	0	0	6	0	197064	168912	0	1	1	0	0	0	cluster_1
414190585	44	257	3	0	0	0	0	0	0	197064	168912	0	1	1	0	0	0	cluster_1
429138664	64	254	5	0	0	0	0	0	0	197064	168912	0	1	1	0	0	0	cluster_1
432855173	78	88	0	0	0	0	0	0	0	197064	168912	0	1	1	0	0	0	cluster_1
435444814	78	35	0	0	0	0	0	0	0	197064	168912	0	1	1	0	0	0	cluster_1
436475491	49	59	0	0	0	0	0	0	0	197064	168912	0	1	1	0	0	0	cluster_1
446945265	52	166	3	0	0	0	0	0	0	197064	168912	0	1	1	0	0	0	cluster_1
448271665	72	131	11	0	0	0	0	0	0	197064	168912	0	1	1	0	0	0	cluster_1
449506323	46	113	20	0	0	0	0	0	0	197064	168912	0	1	1	0	0	0	cluster_1
450318511	64	151	0	0	0	0	0	0	0	197064	168912	0	1	1	0	0	0	cluster_1
450566898	65	65	6	0	0	0	0	0	0	197064	168912	0	1	1	0	0	0	cluster_1
454409351	52	11	0	0	0	0	0	0	0	197064	168912	0	1	1	0	0	0	cluster_1
457452016	60	85	1	0	92.04	0	0	0	0	197064	168912	0	1	1	0	0	0	cluster_1
457748823	59	250	3	0	0	0	0	0	0	197064	168912	0	1	1	0	0	0	cluster_1
463759114	44	51	3	0	0	0	0	0	0	197064	168912	0	1	1	0	0	0	cluster_1
465357231	50	211	6	0	0	0	0	0	0	197064	168912	0	1	1	0	0	0	cluster_1
467438065	78	242	17	0	0	0	0	0	0	197064	168912	0	1	1	0	0	0	cluster_1
468108264	80	37	0	0	0	0	0	0	0	197064	168912	0	1	1	0	0	0	cluster_1
469103279	59	241	9	0	0	0	0	0	0	197064	168912	0	1	1	0	0	0	cluster_1
472271085	42	240	1	0	102.13	0	0	0	0	197064	168912	0	1	1	0	0	0	cluster_1
472879661	86	61	15	0	0	0	0	0	0	197064	168912	0	1	1	0	0	0	cluster_1
473948554	81	240	5	20.66	0	0	0	0	0	197064	168912	0	1	1	0	0	0	cluster_1
476148107	51	241	10	0	0	0	0	0	0	197064	168912	0	1	1	0	0	0	cluster_1
476483352	51	240	20	0	0	0	0	0	0	197064	168912	0	1	1	0	0	0	cluster_1
476931346	66	241	6	0	0	0	0	0	0	197064	168912	0	1	1	0	0	0	cluster_1
481731693	68	236	9	0	0	0	0	0	0	197064	168912	0	1	1	0	0	0	cluster_1
485603976	56	39	8	0	0	0	0	0	0	197064	168912	583817.92	1	1	0	0	0	cluster_1
489933946	40	233	14	0	0	0	0	0	0	197064	168912	0	1	1	0	0	0	cluster_1
493241043	63	232	10	0	0	0	0	0	0	197064	168912	0	1	1	0	0	0	cluster_1
497173198	76	233	8	0	0	0	0	0	0	197064	168912	0	1	1	0	0	0	cluster_1
497567008	54	85	18	0	0	0	0	0	0	197064	168912	712.31	1	1	0	0	0	cluster_1
499646373	42	154	0	0	0	0	0	0	0	197064	168912	0	1	1	0	0	0	cluster_1
499964555	73	210	0	0	0	0	0	0	0	197064	168912	0	1	1	0	0	0	cluster_1
503787461	60	82	3	0	0	0	0	0	0	197064	168912	0	1	1	0	0	0	cluster_1
506456888	66	229	0	0	0	0	0	0	0	197064	168912	0	1	1	0	0	0	cluster_1
512194565	47	102	7	0	0	0	0	0	0	197064	168912	0	1	1	0	0	0	cluster_1
513377301	42	224	3	0	0	0	0	0	0	197064	168912	0	1	1	0	0	0	cluster_1
517421326	39	178	7	0	0	0	0	0	0	197064	168912	0	1	1	0	0	0	cluster_1
532498483	64	22	0	0	0	0	0	0	0	197064	168912	0	1	1	0	0	0	cluster_1
543843016	56	71	3	0	0	0	0	0	0	197064	168912	0	1	1	0	0	0	cluster_1
549141025	72	218	0	0	0	0	0	0	0	197064	168912	27166.82	1	1	0	0	0	cluster_1
551605669	36	216	13	0	0	0	0	0	0	197064	168912	0	1	1	0	0	0	cluster_1
554096709	45	213	0	0	0	0	0	0	0	197064	168912	0	1	1	0	0	0	cluster_1
554196547	55	215	11	0	0	0	0	0	0	197064	168912	0	1	1	0	0	0	cluster_1
556769774	43	22	6	0	0	0	0	0	0	197064	168912	0	1	1	0	0	0	cluster_1
560312286	56	212	0	0	0	0	0	0	0	197064	168912	0	1	1	0	0	0	cluster_1
561581650	76	210	0	0	0	0	0	0	0	197064	168912	0	1	1	0	0	0	cluster_1
565890987	47	75	7	0	0	0	0	0	0	197064	168912	0	1	1	0	0	0	cluster_1
568552020	66	19	0	0	0	0	0	0	0	197064	168912	0	1	1	0	0	0	cluster_1
569805781	46	209	3	0	0	0	0	0	0	197064	168912	0	1	1	0	0	0	cluster_1
574535026	38	115	3	0	0	0	0	0	0	197064	168912	0	1	1	0	0	0	cluster_1
575538650	43	153	2	0	0	0	0	0	0	197064	168912	0	1	1	0	0	0	cluster_1
577135025	41	28	0	0	0	0	0	0	0	197064	168912	0	1	1	0	0	0	cluster_1
578384772	70	164	3	0	0	0	0	0	0	197064	168912	0	1	1	0	0	0	cluster_1
578594371	44	206	0	0	0	0	0	0	0	197064	168912	0	1	1	0	0	0	cluster_1
578864415	54	207	8	0	0	0	0	0	0	197064	168912	0	1	1	0	0	0	cluster_1
579156568	35	120	11	0	0	0	0	0	0	197064	168912	0	1	1	0	0	0	cluster_1
583132181	45	153	11	0	0	0	0	0	0	197064	168912	15899.65	1	1	0	0	0	cluster_1
591672966	42	75	8	0	109.41	0	0	0	0	197064	168912	0	1	1	0	0	0	cluster_1
593196121	53	142	0	0	0	0	0	0	0	197064	168912	0	1	1	0	0	0	cluster_1
593881119	53	11	0	0	0	0	0	0	0	197064	168912	0	1	1	0	0	0	cluster_1
